Model,Hand,Year,Price,Engine,Kilometers,EngineType,GearBox,Color
ניסאן מיקרה,2,2015,"32,500₪",1198,"102,000",בנזין,אוטומט,כחולמטאלי
מרצדס GLA,1,2021,לאצויןמחיר,1332,"12,000",בנזין,אוטומט,לבן
יונדאי i20,1,2021,"82,500₪",998,"12,000",בנזין,אוטומט,לבן
טויוטה היילקס ויגו 2X4,1,2008,"60,000₪",2494,"320,000",דיזל,ידנית,אפורמטאלי
פולקסווגן גולף,3,2011,"27,000₪",1390,"215,000",בנזין,אוטומט,לבןמטאלי
פורד פוקוס,2,2008,"8,000₪",1596,"224,000",בנזין,אוטומט,כחולמטאלי
מאזדה 6,2,2013,"44,000₪",1998,"185,000",בנזין,אוטומט,כחולבהירמטאלי
סיאט איביזה,2,2015,"52,000₪",1197,"86,199",בנזין,ידנית,אדום
פורד קוגה,1,2016,"62,000₪",1498,"135,900",בנזין,אוטומט,לבן
ב.מ.וו סדרה 3,3,2018,לאצויןמחיר,1998,"52,000",בנזין,אוטומט,אפורעכבר
טויוטה קורולה,2,2017,"74,000₪",1598,"84,000",בנזין,אוטומט,אפורעכבר
ב.מ.וו Z4,2,2019,"380,000₪",1998,"30,000",בנזין,אוטומט,לבן
סוזוקי SX4,2,2011,"19,000₪",1586,"200,000",בנזין,אוטומט,אפור
סקודה ראפיד,4,2015,"43,000₪",1390,"115,000",בנזין,אוטומט,אפורמטאלי
מרצדס S-Class,2,2008,"105,000₪",5462,"100,000",בנזין,אוטומט,כחולמטאלי
טויוטה פריוס פלוס הייבריד,2,2015,"75,000₪",1798,"265,000",בנזין,אוטומט,כסוף
סקודה סופרב (עד 2019) ,1,2017,"120,000₪",1798,"73,000",בנזין,אוטומט,אפורמטאלי
יונדאי סנטה פה,2,2018,"128,000₪",2359,"103,000",בנזין,אוטומט,לבןשנהב
מיצובישי L200 האנטר 2X4,2,2011,"48,000₪",2477,"310,000",טורבודיזל,אוטומט,לבן
ב.מ.וו סדרה 3,1,2022,"262,000₪",1998,,בנזין,אוטומט,שחור
רנו מאסטר ארוך,1,2017,לאצויןמחיר,2299,"123,000",דיזל,ידנית,לבן
סקודה סופרב (עד 2019) ,3,2014,"47,900₪",1800,"215,234",בנזין,אוטומט,שחור
מרצדס S-Class,2,2016,"299,998₪",4663,"105,000",בנזין,אוטומט,שחורמטאלי
ג'יפ / Jeep רנגלר ארוך,0,2021,4650₪לחודש,1995,,היברידיחשמל/בנזין,אוטומט,אפורעכבר
סוזוקי סוויפט,1,2014,"35,500₪",1242,"170,000",בנזין,אוטומט,זהבמטאלי
אינפיניטי QX60,1,2019,"272,000₪",3498,"20,000",בנזין,אוטומט,שחורמטאלי
פורד מוסטנג,0,2022,לאצויןמחיר,2261,,בנזין,אוטומט,לבן
יונדאי סנטה פה,0,2021,1464₪לחודש,1598,,בנזין,אוטומט,שחור
ב.מ.וו X2,0,2021,לאצויןמחיר,1499,,היברידיחשמל/בנזין,אוטומט,לבן
קיה פיקנטו,1,2019,"65,508₪",1200,"45,348",בנזין,אוטומט,שחור
מרצדס CLA,0,2021,לאצויןמחיר,1332,,היברידיחשמל/בנזין,אוטומט,אפורעכבר
סקודה אוקטביה,1,2018,"76,117₪",1000,"129,658",בנזין,DSG,כסוף
רנו מגאן גראנד קופה,1,2019,"96,000₪",1461,"32,000",דיזל,אוטומט,לבןפנינה
וולוו XC40,0,2021,915₪לחודש,1477,,בנזין,אוטומט,לבן
מזראטי קוואטרופורטה,3,2015,לאצויןמחיר,2979,"90,000",בנזין,אוטומט,כחול
מיצובישי פג'רו קצר,1,2018,"230,000₪",3200,"117,069",דיזל,אוטומט,ברונזה
טויוטה קורולה,2,2015,"65,000₪",1598,"86,500",בנזין,אוטומט,אפורעכבר
קיה קרניבל,1,2017,"145,000₪",3342,"135,000",בנזין,אוטומט,שחור
אלפא רומיאו ג'ולייטה,1,2017,"85,000₪",1368,"70,700",בנזין,אוטומט,לבןמטאלי
לנד רובר ריינג' רובר איווק,1,2021,לאצויןמחיר,1997,"28,000",בנזין,אוטומט,אפורמטאלי
פולקסווגן ג'טה,1,2013,"40,000₪",1197,"158,000",בנזין,אוטומט,אפורמטאלי
ג'יפ / Jeep גרנד צ'ירוקי,1,2022,"475,000₪",3604,"1,100",בנזין,אוטומט,שחורמטאלי
מרצדס CLS,2,2015,"230,000₪",3498,"90,000",בנזין,אוטומט,לבןפנינה
פולקסווגן גולף GTI,2,2017,לאצויןמחיר,1984,"50,000",בנזין,אוטומט,אפורמטאלי
פיאט פונטו איבו (דור III מתיחת פנים),2,2010,"23,000₪",1368,"29,500",בנזין,רובוטית,כסוף
הונדה סיוויק סדאן החדשה,2,2008,"23,000₪",1799,"330,000",בנזין,אוטומט,בז'
מרצדס C-Class קופה,3,2018,לאצויןמחיר,1991,"30,000",בנזין,אוטומט,לבן
ניסאן ג'וק / Juke,1,2020,"115,000₪",999,"7,000",בנזין,אוטומט,אפורמטאלי
ב.מ.וו סדרה 5,3,2010,"84,000₪",2497,"67,000",בנזין,אוטומט,שחורמטאלי
פיג'ו 3008,1,2018,"117,000₪",1598,"140,000",בנזין,אוטומט,לבן
הונדה אקורד,4,2010,"37,500₪",2354,"205,200",בנזין,אוטומט,שחור
